sku,images
10431343,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/5d88efcdf16cb6.95643884.jpg
10431363,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66c852c0700009.77328794.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/66c852c0e7fb52.65299532.jpg
10432340,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/61c30832023706.86575554.jpg
10432343,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/5935871b6151b7.57868840.jpg
10461173,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d48bad752.14647289.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d495590c6.60885314.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d49dded23.54722468.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d4a8d63f0.06929700.jpg
10461373,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d4b2d5c01.75580503.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d4bb92353.38736517.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d4c43b6c3.43246168.jpg;https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/64a43d4cabd2e4.53896671.jpg
10461383,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/61c30a1cdf7f34.59741850.jpg
10461393,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/61c30a20155391.09073058.jpg
10461403,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/61c30a233f80a2.11520301.jpg
10461413,https://s3-eu-west-1.amazonaws.com/skoo-cloud/dam/90_acd0730b9d974a0a/61c30a26d4cf28.06487322.jpg
