SKU	StockLevel
35666171813S	0
35666171813XL	0
35666171813XXL	0
35669171043XL	0
3566917104L	1
3566917104M	0
3566917104S	0
3566917104XL	0
3566917104XXL	0
35669171253XL	0
3566917125L	0
3566917125M	0
3566917125S	0
3566917125XL	0
3566917125XXL	0
3566917133XL	0
356691713L	0
356691713M	0
356691713S	0
356691713XL	0
356691713XXL	0
356731610L	0
35673161232XL	0
3567316123L	0
3567316123XL	0
356731612L	0
3567316155M	0
3567316155XL	0
3567717103XL	27
356771710L	100
356771710M	100
356771710S	54
356771710XL	100
356771710XXL	100
35677171253XL	24
3567717125L	21
3567717125M	26
3567717125S	9
3567717125XL	18
3567717125XXL	17
35677171323XL	7
35677171325M	0
35677171325S	0
35677171325XL	0
35677171325XXL	0
3567717132L	43
3567717132M	48
3567717132S	5
3567717132XL	29
3567717132XXL	25
357471410533XL	0
357471410M	0
357471410S	0
361601710S	0
3616017939L	0
3616017939M	0
362651710M	0
362651710XL	0
362651710XXL	0
363651710L	0
420051713XXL	0
470301130M	90
470301130XL	50
470311130M	43
470311130XL	66
4752117106M	43
4752117106XL	50
4752117106XS	7
4752217106M	23
4752217106XL	38
4752217106XS	5
475251713M	0
475251713XL	0
475251713XS	0
475261713M	0
475261713XL	0
475261713XS	0
475271713M	0
475271713XL	0
475271713XS	0
475281713M	0
475281713XL	0
475281713XS	0
47581710	93
47582710	25
475851410U	70
475861410U	100
5060351	0
6107717106	0
6107717123	0
610771713	0
61077177016	0
63010313	0
640101313	0
64020710	0
64020720	0
64030412	0
650161510L	89
650161510M	100
650161510S	0
650451512L	0
650451512M	0
650451512S	0
650451512XL	0
650461513L	18
650461513M	25
650461513S	9
650461513XL	10
6505015125L	0
6505015125S	0
6508615123L	4
6508615123S	11
670201510S	0
670211510L	0
670211510S	0
670251512	11
678211510	0
A10004	92
A10013	100
A10032	100
A25002	100
A25014	6
A25016	0
ARTYCV	2
AS17BW2XL	0
AS17BW3XL	0
AS17BW4XL	0
AS17BWL	0
AS17BWM	0
AS17BWS	0
AS17BWXL	0
AS17KW2XL	0
AS17KW3XL	0
AS17KW4XL	0
AS17KWL	0
AS17KWM	0
AS17KWS	0
AS17KWXL	0
AS17RB2XL	0
AS17RB3XL	0
AS17RB4XL	0
AS17RBL	0
AS17RBM	0
AS17RBS	0
AS17RBXL	0
AS17RU2XL	0
AS17RU3XL	0
AS17RU4XL	0
AS17RUL	0
AS17RUM	0
AS17RUS	0
AS17RUXL	0
B1BL	0
B1BLDD	0
B1BM	0
B1BMDD	0
B1BS	0
B1BSDD	0
B1BXL	0
B1BXLDD	0
B1BXS	0
B1BXSDD	0
B1BXXL	0
B1BXXLDD	0
B1MBL	0
B1MBM	0
B1MBS	0
B1MBXL	0
B1MBXS	0
B1MBXXL	0
B1SBL	0
B1SBLL	0
B1SBLM	0
B1SBLS	0
B1SBLXL	0
B1SBLXS	0
B1SBLXXL	0
B1SBM	0
B1SBS	0
B1SBXL	0
B1SBXS	0
B1SBXXL	0
B1SL	0
B1SM	0
B1SPM	0
B1SPS	0
B1SPXS	0
B1SRL	0
B1SRM	0
B1SRS	0
B1SRXL	0
B1SRXS	0
B1SRXXL	0
B1SS	0
B1SXL	0
B1SXS	0
B1WBL	0
B1WBM	0
B1WBS	0
B1WBXL	0
B1WL	0
B1WM	0
B1WRL	0
B1WRM	0
B1WRS	0
B1WRXL	0
B1WS	0
B1WUL	0
B1WUM	0
B1WUS	0
B1WUXL	0
B1WXL	0
B1WXS	0
B1WXXL	0
BM10037	0
BM10038	0
BM10039	0
BM10040	0
BM10041	0
BM10042	0
BM10043	0
BM10044	0
BM10045	0
BM10046	0
BM10047	0
BM10136	0
BM10137	0
BM10138	0
BM10139	0
BM10140	0
BM10141	0
BM10142	0
BM10143	0
BM10144	0
BM10145	0
BM10146	0
BM10147	0
BM10241	0
BM10242	0
BM10243	0
BM10244	0
BM10245	0
BM10246	0
BM10247	0
BM10336	0
BM10337	0
BM10338	0
BM10339	0
BM10340	0
BM10341	0
BM10342	0
BM10343	0
BM10344	0
BM10345	0
BM10346	0
BM10347	0
BM10441	0
BM10442	0
BM10443	0
BM10444	0
BM10445	0
BM10446	0
BM10447	0
BM11040	0
BM11041	0
BM11042	0
BM11043	0
BM11044	0
BM11045	0
BM11046	0
BM11047	0
BM11140	0
BM11141	0
BM11142	0
BM11143	0
BM11144	0
BM11145	0
BM11146	0
BM11147	0
BM11240	0
BM11241	0
BM11242	0
BM11243	0
BM11244	0
BM11245	0
BM11246	0
BM11247	0
BM12040	0
BM12041	0
BM12042	0
BM12043	0
BM12044	0
BM12045	0
BM12046	0
BM12047	0
BULB21W	0
BULB21WO	0
BULB6W	0
BULB6WO	0
BW10036	0
BW10037	0
BW10038	0
BW10039	0
BW10040	0
BW10041	0
BW12036	18
BW12037	22
BW12038	0
BW12039	8
BW12040	11
BW12041	0
BW12136	0
BW12137	11
BW12138	0
BW12139	5
BW12140	12
BW12141	0
BX1CV	0
BX1DV	0
C004	44
C5BL	0
C5BM	0
C5BS	0
C5BXL	0
C5BXS	0
C5BXXL	0
C5MBL	0
C5MBM	0
C5MBS	0
C5MBXL	0
C5MBXS	0
C5MBXXL	0
C5SB2XL	0
C5SBL	0
C5SBL2XL	0
C5SBLL	0
C5SBLM	0
C5SBLS	0
C5SBLXL	0
C5SBLXS	0
C5SBM	0
C5SBS	0
C5SBXL	0
C5SBXS	0
C5SF2XL	0
C5SFL	0
C5SFM	0
C5SFS	0
C5SFXL	0
C5SFXS	0
C5SOBL	0
C5SOBM	0
C5SOBS	0
C5SOBXL	0
C5SOBXS	0
C5SOPM	0
C5SOPS	0
C5SOPXS	0
C5SORL	0
C5SORM	0
C5SORS	0
C5SORXL	0
C5SORXS	0
C5SOYL	0
C5SOYM	0
C5SOYS	0
C5SOYXL	0
C5SOYXS	0
C5SPBL	0
C5SPBM	0
C5SPBS	0
C5SPBXL	0
C5SPBXS	0
C5SPOL	0
C5SPOM	0
C5SPOS	0
C5SPOXL	0
C5SPOXS	0
C5SPWL	0
C5SPWM	0
C5SPWS	0
C5SPWXL	0
C5SPWXS	0
C5SR2XL	0
C5SRL	0
C5SRM	0
C5SRS	0
C5SRXL	0
C5SRXS	0
C5VM	0
C5VS	0
C5VXS	0
C5WL	0
C5WM	0
C5WS	0
C5WXL	0
C5WXS	0
C5WXXL	0
CL2CV	23
CL2DV	36
CL2IVG	0
CL2IVGR	0
CL2IVP	0
CL2IVS	0
CL2VS	22
CL3CV	0
CL3DV	0
CL4RCV	0
CLSPB3XL	81
CLSPB4XL	79
CLSPMBXXXL	100
CLSPMBXXXXL	70
CLYBM	0
CLYBS	0
CLYSFM	0
CLYSFS	0
CLYSRM	0
CLYSRS	0
CLYTBPM	0
CLYTBPS	0
CLYWM	0
CLYWS	0
CLYYRM	0
CLYYRS	0
CS2NBV	4
CSRBV	0
CV106	0
CV107	71
CV108	0
CV160	12
CV161	0
CV162	86
CV163	0
CV164	100
CV170	0
CV171	0
CV172	100
CV173	100
CV174	95
CV175	100
CV176	100
CV177	100
CV178	100
CV179	100
CV180	100
CV181	100
CV185	11
CV186	15
CV187	0
CV200	100
CV201	0
CV202	0
CV203	0
CV204	0
CV205	0
CV206	0
CV207	0
CV208	93
CV209	29
CV210	0
CV211	43
CV212	56
CV213	0
CV214	0
CV215	0
CV330	73
CV331	0
CV332	100
CV333	100
CV401	100
CV402	75
CV403	100
CV404	100
CV501	94
CV502	100
CV503	100
CV504	100
CX2GB2XL	0
CX2GBL	0
CX2GBM	0
CX2GBS	0
CX2GBXL	0
CX2GBXS	0
CX2GF2XL	0
CX2GFL	0
CX2GFM	0
CX2GFS	0
CX2GFXL	0
CX2GFXS	0
CX2GR2XL	0
CX2GRL	0
CX2GRM	0
CX2GRS	0
CX2GRXL	0
CX2GRXS	0
CXY2AL	0
CXY2AM	0
CXY2AS	0
CXY2AXL	0
CXY2BBL	0
CXY2BBM	0
CXY2BBS	0
CXY2BRL	0
CXY2BRM	0
CXY2BRS	0
CXY2BUL	0
CXY2BUM	0
CXY2BUS	0
DM01013028	0
DM01013030	0
DM01013032	0
DM01013034	0
DM01013036	0
DM01013038	0
DM01013040	0
DM01013042	0
DM01013228	0
DM01013230	0
DM01013232	0
DM01013234	0
DM01013236	0
DM01013238	0
DM01013240	0
DM01013242	0
DM01013432	0
DM01013434	0
DM01013436	0
DM01013438	0
DM01013440	0
DM01013442	0
DM01023028	0
DM01023032	0
DM01023040	0
DM01023228	0
DM01023230	0
DM01023232	0
DM01023234	0
DM01023236	0
DM01023238	0
DM01023432	0
DM01023436	0
DM01023438	0
DM01023442	0
DM01033028	0
DM01033030	0
DM01033040	0
DM01033042	0
DM01033230	0
DM01033232	0
DM01033234	0
DM01033236	0
DM01033238	0
DM01033240	0
DM01033242	0
DM01033432	0
DM01033434	0
DM01033436	0
DM01033438	0
DM01033440	0
DM01033442	0
DM03013036	0
DM03013038	0
DM03013040	0
DM03013042	0
DM03013232	0
DM03013234	0
DM03013236	0
DM03013238	0
DM03013242	0
DM03013430	0
DM03013438	0
DM03013440	0
DM03013442	0
DM03023038	0
DM03023040	0
DM03023042	0
DM03023430	0
DM03023436	0
DM03023438	0
DM03023440	0
DM03023442	0
DM03033038	0
DM03033040	0
DM03033042	0
DM03033430	0
DM03033432	0
DM03033440	0
DM03033442	0
DW03013008	0
DW03013012	0
DW03013014	0
DW03013016	0
DW03013208	0
DW03013210	0
DW03013212	0
DW03013214	0
DW03013216	0
DW03013218	0
DW03013408	0
DW03013414	0
DW03013416	0
DW03013418	0
DW03033012	0
DW03033014	0
DW03033208	0
DW03033210	0
DW03033212	0
DW03033214	0
DW03033216	0
DW03033218	0
DW03033408	0
DW03033414	0
DW03033416	0
DW03033418	0
EL100	100
EL101	100
EL102	100
EL103	100
EL104	100
EL105	0
EL105B	0
EL106	100
EL107	0
EL108	100
EL109	100
EL110	100
EL141	0
EL301	100
EL302	0
EL303	0
EL304	0
EL306	0
EL307	0
EL314	0
EL315	0
EL570	100
EL571	100
EL600	0
EL601	0
EL690UK	100
EL691UK	100
EL692UK	100
EL800	100
F7BBL	0
F7BBM	0
F7BBS	0
F7BBXL	0
F7BBXS	0
F7HBL	0
F7HBM	0
F7HBS	0
F7HBXL	0
F7HBXS	0
F7HOL	0
F7HOM	0
F7HOS	0
F7HOXL	0
F7HOXS	0
F7HRL	0
F7HRM	0
F7HRS	0
F7HRXL	0
F7HRXS	0
F7MBL	0
F7MBM	0
F7MBS	0
F7MBXL	0
F7MBXS	0
F7VMBL	0
F7VMBM	0
F7VMBRL	0
F7VMBRM	0
F7VMBRS	0
F7VMBRXL	0
F7VMBRXS	0
F7VMBS	0
F7VMBXL	0
F7VMBXS	0
F7XWL	0
F7XWM	0
F7XWS	0
F7XWXL	0
F7XWXS	0
FG5CLL	54
FG5CLM	46
FG5CLS	0
FG5CLXL	0
FG5MBRV	1
FG5RBV	0
FG5RRV	6
FG5SBV	0
FG5STV	0
FG7BBV	0
